,P,Q,W,E,R,Historia,PD,QD,WD,ED,RD
Darius,Hemorragia,Diezmar,Golpe atroz,Atrapar,Guillotina noxiana,"No hay mayor símbolo del poder de Noxus que Darius, el comandante más temido y más curtido en batallas de toda la nación. Pasando de orígenes humildes a convertirse en la Mano de Noxus, se abre paso a tajos entre los enemigos del imperio, muchos de...<!-- --> <button data-testid=""overview:seemorebutton","Los ataques y habilidades de daño de Darius hacen que los enemigos sangren durante 5 s, lo que les causa daño físico. Se puede acumular hasta 5 veces. Darius se enfurece y obtiene un gran daño de ataque cuando su objetivo alcanza el máximo de acumulaciones.",Darius reúne fuerzas y traza un amplio círculo con su hacha. Los enemigos a los que golpee con su hoja sufrirán más daño que los que sean golpeados por el mango. Darius se cura en función al número de campeones enemigos y monstruos gigantes alcanzados por la hoja.,"El siguiente ataque de Darius alcanza al enemigo en una arteria vital. Mientras se desangra, su velocidad de movimiento disminuye.","Darius pone a punto su hacha, lo cual provoca que, de forma pasiva, su daño físico ignore un porcentaje de la armadura de su objetivo. Cuando se activa, Darius barre a sus enemigos con el gancho de su hacha y los acerca hacia él.","Darius salta hacia un campeón enemigo y le asesta un golpe letal que inflige daño verdadero. Este daño se ve incrementado por cada acumulación de Hemorragia que tenga el objetivo. Si el ataque con Guillotina noxiana es letal, se reinicia el enfriamiento durante un corto periodo de tiempo."
Diana,Hoja lunaplata,Impacto creciente,Cascada pálida,Torrente lunar,Lluvia de luna,"Portadora de una espada en forma de media luna, Diana es una guerrera de los Lunari, una fe rechazada en casi todas las tierras a los pies del Monte Targon. Ataviada con una armadura reluciente del color de la nieve en una noche de invierno, es la...<!-- --> <button data-testid=""overview:seemorebutton","Cada tres golpes, inflige daño mágico adicional a los enemigos cercanos. Después de lanzar un hechizo, Diana obtiene velocidad de ataque en los siguientes tres ataques.","Libera un rayo de energía lunar en un arco que inflige daño mágico.

Los enemigos golpeados se verán afectados por Luz lunar, que revela durante 3 s a los objetivos que no estén en sigilo.","Diana crea tres esferas que orbitan a su alrededor y explotan al entrar en contacto con enemigos, lo que inflige daño en una zona. También obtiene un escudo temporal que absorbe daño. Si la tercera esfera explota, el escudo absorbe más daño.","Diana se transforma en la encarnación de la luna más vengativa, se desliza hacia un enemigo y le inflige daño mágico.

Torrente lunar no tiene enfriamiento cuando se usa para deslizarse hacia un objetivo afectado por Luz lunar. El efecto de Luz lunar desaparecerá del resto de enemigos, independientemente de haber sido atacados con Torrente lunar o no.","Diana revela y atrae a todos los enemigos cercanos, y los ralentiza.

Si Diana atrae a un campeón enemigo o más, un torrente de luz lunar se precipita hacia ella tras unos instantes e inflige daño mágico en una zona a su alrededor, que aumenta por cada objetivo adicional atraído con la habilidad."
Dr. Mundo,Va donde quiere,Serrucho infectado,Desisfibrulación,Traumatismo,Dosis máxima,"Loco de remate, trágicamente homicida, terriblemente morado: el Dr. Mundo es lo que mantiene en sus casas a muchos habitantes de Zaun en las noches especialmente oscuras. Este autoproclamado doctor fue paciente del psiquiátrico más infame de Zaun. Tras...<!-- --> <button data-testid=""overview:seemorebutton","Dr. Mundo resiste el siguiente efecto inmovilizador que lo golpea, pero pierde vida y deja caer un vial químico cerca. Puede recoger dicho vial caminando sobre él, lo que restaura vida y reduce el enfriamiento de esta pasiva.

Dr. Mundo también tiene gran regeneración de vida adicional.
",Dr. Mundo lanza un serrucho infectado que inflige daño al primer enemigo golpeado según su vida actual y lo ralentiza.,"Dr. Mundo se autoelectrocuta, lo que inflige daño constante a los enemigos cercanos y almacena parte del daño recibido. Al final de la duración o al volver a lanzar la habilidad, Dr. Mundo inflige daño explosivo a los enemigos cercanos. Si la explosión alcanza a un enemigo, cura un porcentaje del daño acumulado.","Pasiva: Dr. Mundo obtiene daño de ataque adicional, que aumenta según la vida máxima.

Activa: Dr. Mundo golpea con su ''botiquín'' a un enemigo, lo que inflige daño adicional según la vida que le falte. Si el enemigo muere, lo empuja, lo que inflige daño a los enemigos a los que atraviesa.","Dr. Mundo se inyecta productos químicos, lo que restaura al instante un porcentaje de la vida que le falte. Después, obtiene velocidad de movimiento adicional y se cura parte de su vida máxima durante un largo periodo de tiempo."
Draven,League of Draven,Hacha giratoria,Subidón de adrenalina,A un lado,Espiral de muerte,"En Noxus, los guerreros conocidos como 'justicieros' se enfrentan en recintos donde corre la sangre y se pone a prueba la fortaleza. Pero ninguno ha alcanzado la fama de Draven, un antiguo soldado cuyo sentido del espectáculo y habilidad sin igual con...<!-- --> <button data-testid=""overview:seemorebutton","Draven consigue la Adoración de sus fans cuando atrapa un Hacha giratoria o elimina a un súbdito, monstruo o torre. Asesinar a campeones enemigos le otorga a Draven oro adicional en función de la Adoración que tenga.","El siguiente ataque de Draven inflige daño físico adicional. Tras golpear al objetivo, el hacha saldrá volando por los aires. Si Draven la atrapa, preparará automáticamente otra Hacha giratoria. Draven puede tener dos Hachas giratorias a la vez.","Draven aumenta la velocidad de movimiento y la velocidad de ataque. La bonificación de velocidad de movimiento disminuye rápidamente con el tiempo. Al atrapar un Hacha giratoria, se recuperará el enfriamiento de Subidón de adrenalina.","Draven lanza sus hachas, lo que inflige daño físico a los objetivos golpeados y los echa a un lado. Los objetivos impactados se ven ralentizados.",Draven lanza dos hachas gigantescas para infligir daño físico a cada unidad alcanzada. Las hachas de Espiral de muerte cambian lentamente de dirección y regresan a Draven tras golpear a un campeón enemigo. Draven también puede activar esta habilidad mientras las hachas están de camino para hacer que vuelvan antes. Inflige menos daño por cada unidad que golpea y se reinicia cuando el hacha cambia de dirección. Ejecuta a los enemigos que tengan menos vida que el número de acumulaciones de Adoración de Draven.
Ekko,Resonancia Z,Engranaje temporal,Convergencia paralela,Salto de fase,Fisura temporal,"Ekko, un prodigio surgido de las implacables calles de Zaun, manipula el tiempo para sacar ventaja de todas las situaciones. Con una máquina de su invención llamada Dispositivo Z, explora las distintas posibilidades de la realidad hasta alcanzar el...<!-- --> <button data-testid=""overview:seemorebutton","Cada tercer ataque o hechizo dañino lanzado sobre un mismo objetivo inflige daño mágico adicional, y Ekko obtiene una mejora de velocidad de movimiento si el objetivo es un campeón.

","Ekko lanza una granada temporal que, al alcanzar a un campeón enemigo, genera un campo de distorsión cronológica. Las unidades sorprendidas en su interior sufren daño y quedan ralentizadas. Al cabo de unos instantes, la granada regresa a Ekko y daña a todo cuanto se encuentre en su camino.","Los ataques básicos de Ekko infligen daño mágico adicional a objetivos con poca vida. Con Convergencia paralela puede romper la línea temporal y, al cabo de unos segundos, crea una anomalía que ralentiza a los enemigos situados dentro. Si el propio Ekko entra en ella, recibe un escudo y aturde a los enemigos al dejarlos congelados en el tiempo.",Ekko rueda por el suelo en un movimiento evasivo mientras activa su Dispositivo Z. Su siguiente ataque inflige daño adicional y distorsiona la realidad para teleportarlo hasta su objetivo.,Ekko fragmenta su línea temporal y se vuelve imposible de seleccionar como objetivo mientras regresa a un momento pasado más favorable. Reaparece en el mismo sitio donde se encontraba unos segundos antes y recupera una parte de la vida que hubiera perdido en ese tiempo. Los enemigos situados cerca de su zona de llegada reciben muchísimo daño.
Elise,Reina de las arañas,Neurotoxina / Mordisco venenoso,Araña volátil / Frenesí arácnido,Maraña / Rápel,Forma de araña,"Elise es una letal depredadora que mora en un palacio cerrado y sin luz situado en el corazón de la ciudad más antigua de Noxus. En su día fue una mujer mortal, señora de una casa poderosa, pero la picadura de un malvado semidiós la transformó en una...<!-- --> <button data-testid=""overview:seemorebutton","Forma humana: Cuando Elise alcanza a un enemigo con una habilidad, convoca una araña durmiente.

Forma de araña: Los ataques básicos infligen daño mágico adicional y le devuelven vida a Elise.","Forma humana: Inflige daño según la cantidad de vida que tenga el objetivo.

Forma de araña: Embiste a un enemigo e inflige daño según la cantidad de vida que tenga.","Forma humana: Libera una araña cargada de veneno que explota al acercarse a un objetivo.

Forma de araña: Elise y sus arañas aumentan su velocidad de ataque.","Forma humana: Aturde a la primera unidad enemiga impactada y la revela si no se halla en sigilo.

Forma de araña: Elise y sus arañas ascienden en el aire y luego descienden sobre un objetivo enemigo. Una vez ha descendido, el daño y la curación adicionales de Reina de las arañas aumentan.","Se transforma en una amenazadora araña, lo que reduce su alcance de ataque pero le proporciona velocidad de movimiento, nuevas habilidades y un enjambre de arañas que ataca a sus enemigos."
Evelynn,Sombra demoníaca,Púa de odio,Sed de lujuria,Latigazo,Hacedora de viudas,"En los oscuros adentros de Runaterra, el súcubo Evelynn deambula en busca de su siguiente víctima. Acecha a sus presas con una voluptuosa fachada femenina, pero cuando alguien sucumbe a sus encantos, Evelynn libera su auténtica forma. Después somete a...<!-- --> <button data-testid=""overview:seemorebutton","Cuando no está en combate, Evelynn entra en modo Sombra demoníaca. Sombra demoníaca cura a Evelynn cuando está baja de vida y le otorga camuflaje tras alcanzar el nivel 6.","Evelynn golpea con su látigo e inflige daño a la primera unidad que alcanza. Después, Evelynn puede lanzar una línea de púas a los enemigos cercanos hasta 3 veces.","Evelynn maldice a su objetivo y provoca que, tras un breve lapso de tiempo, el próximo ataque o habilidad lo hechice y le reduzca la resistencia mágica.",Evelynn azota a su objetivo con su látigo y le inflige daño. Obtiene velocidad de movimiento durante un breve periodo de tiempo.,"Evelynn se vuelve invulnerable brevemente y asola la zona que tiene delante, y después reaparece mucho más atrás."
Ezreal,Fuerza de hechizo naciente,Disparo místico,Flujo de esencia,Alteración arcana,Andanada certera,"Ezreal, un aventurero aficionado a deslizarse y dotado de artes mágicas sin saberlo, saquea catacumbas perdidas, lidia con maldiciones ancestrales y supera con facilidad adversidades imposibles. De valor y chulería sin límites, prefiere improvisar para...<!-- --> <button data-testid=""overview:seemorebutton","La velocidad de ataque de Ezreal aumenta progresivamente cada vez que acierta un hechizo, hasta un máximo de 5 acumulaciones.",Ezreal lanza un rayo de energía que reduce brevemente todos sus enfriamientos si alcanza a alguna unidad enemiga.,"Ezreal dispara un orbe que se adhiere al primer campeón u objetivo alcanzado. Si Ezreal golpea a un enemigo con el orbe, este explota e inflige daño.",Ezreal se teleporta a una ubicación cercana a un objetivo y dispara un rayo certero que golpea a la unidad enemiga más cercana. Dará prioridad a los enemigos marcados con Flujo de esencia.,Ezreal se prepara antes de disparar una potente andanada de energía que inflige mucho daño a cada unidad que atraviese (el daño es menor contra súbditos y monstruos no épicos).
Fiddlesticks,Un simple espantapájaros,Terror,Cosecha abundante,Segar,Tormenta de cuervos,"Algo ha despertado en Runaterra. Algo ancestral. Algo terrible. El horror conocido como Fiddlesticks acecha en las lindes de la sociedad, en las zonas en las que impera la paranoia, donde se alimenta de aquellos a los que aterroriza. Armada con una...<!-- --> <button data-testid=""overview:seemorebutton",El talismán de Fiddlesticks se reemplaza por figuras de espantapájaros.,"Fiddlesticks infunde miedo al infligir daño con habilidades sin ser visto o al activar Terror seleccionando como objetivo a una unidad enemiga, provocando que los enemigos afectados huyan despavoridos mientras dure el efecto.",Fiddlesticks drena la vida de los enemigos cercanos e inflige daño de ejecución adicional al final del efecto.,"Fiddlesticks ataca en área con su guadaña, lo que ralentiza a todos los enemigos alcanzados y silencia a aquellos que golpea en el centro de la cuchillada.",Una bandada de cuervos rodea a Fiddlesticks e inflige daño cada segundo a todas las unidades enemigas de la zona.
Fiora,Baile de duelista,Embestida,Réplica,Esgrima,Duelo excelso,"Fiora, la duelista más temida de Valoran, ha alcanzado renombre por su estilo brusco y su mente astuta, así como por la velocidad de su estoque. Fiora nació en el seno de la Casa Laurent, en el reino de Demacia, y asumió el control de la familia a raíz...<!-- --> <button data-testid=""overview:seemorebutton","Fiora ha revelado un punto vital de este campeón. Si golpea este punto vital, restaura vida y obtiene velocidad de movimiento.","Fiora se abalanza hacia un punto y apuñala a un enemigo cercano, al que causa daño físico y aplica efectos de impacto.","Fiora bloquea todo el daño y las debilitaciones durante breve tiempo y luego golpea en una dirección. La estocada ralentiza al primer campeón enemigo alcanzado, o lo aturde si Fiora bloqueó un efecto de inmovilización con la habilidad.",Fiora cuenta con velocidad de ataque adicional durante dos ataques. El primero ralentiza al objetivo y el segundo asesta un golpe crítico.,"Fiora localiza los cuatro puntos vitales de un campeón enemigo y obtiene velocidad de movimiento mientras está cerca de ellos. Si lo alcanza en los cuatro puntos vitales o el objetivo muere después de que haya alcanzado al menos uno, Fiora y sus aliados de la zona reciben curación durante los siguientes segundos."
Fizz,Luchador ágil,Golpe de erizo de mar,Tridente piedramar,Juguetón/Gamberro,Carnaza para tiburones,"Fizz es un yordle anfibio que habita entre los arrecifes de alrededor de Aguas Estancadas. Suele recuperar y devolver los diezmos arrojados al mar por capitanes supersticiosos, pero incluso los marineros más agudos saben que no hay que plantarle cara...<!-- --> <button data-testid=""overview:seemorebutton",Fizz se puede mover a través de unidades y reduce una cantidad fija el daño proveniente de cualquier fuente.,"Fizz atraviesa a su objetivo, inflige daño mágico y aplica efectos de impacto.",Los ataques de Fizz hacen que sus enemigos se desangren y sufran daño mágico durante varios segundos. Fizz puede potenciar su siguiente ataque para infligir daño adicional y potenciar sus siguientes ataques durante un breve periodo de tiempo.,"Fizz salta al aire y aterriza grácilmente sobre su lanza, siendo imposible atacarlo. Desde esta posición, Fizz puede dejarse caer para aplastar el suelo u optar por saltar de nuevo antes de hacerlo.","Fizz lanza hacia una dirección un pez que se adhiere al primer campeón que toca y lo ralentiza. Tras un momento, sale un tiburón de la tierra que lanza al objetivo por los aires y empuja a un lado a los enemigos cercanos. Todos los enemigos alcanzados sufren daño mágico y son ralentizados."
Galio,Aplastamiento colosal,Vientos de guerra,Escudo de Durand,Puñetazo justiciero,Entrada heroica,"Fuera de la reluciente ciudad de Demacia, el coloso de piedra Galio se mantiene vigilante. Construido como un baluarte contra los magos enemigos, suele permanecer inmóvil durante décadas hasta que la presencia de magia poderosa lo vuelve a traer a la...<!-- --> <button data-testid=""overview:seemorebutton","Cada pocos segundos, el siguiente ataque básico de Galio inflige daño mágico adicional en un área.",Galio lanza dos remolinos de viento que se unen y convierten en un gran tornado que inflige daño prolongado.,"Galio carga en posición defensiva y se mueve lentamente. Tras liberar la carga, Galio provocará y dañará a los enemigos cercanos.","Galio dará un pequeño paso hacia atrás, cargará hacia delante y aturdirá al primer enemigo que se encuentre en su camino.","Galio designa la ubicación de un campeón aliado como punto de aterrizaje y otorga un escudo mágico a todos los aliados en la zona. Tras un breve lapso de tiempo, Galio aterriza en la ubicación y lanza a los enemigos cercanos por los aires."
Gangplank,Prueba de fuego,Parrrlamento,Eliminar escorbuto,Barril de pólvora,Andanada de cañón,"Tan impredecible como brutal, el destronado rey de los piratas conocido como Gangplank es temido a lo largo y ancho del mundo. Antes gobernaba la ciudad portuaria de Aguas Estancadas, y aunque su reinado haya terminado, hay quienes creen que esto solo...<!-- --> <button data-testid=""overview:seemorebutton","Cada pocos segundos, los ataques cuerpo a cuerpo de Gangplank hacen arder a sus víctimas.",Dispara a un objetivo y recibe oro por cada unidad enemiga asesinada.,Los efectos curativos de los cítricos eliminan los efectos de control de adversario y restauran vida.,"Gangplank destapa un barril explosivo en una ubicación objetivo. Si lo rompe, el barril explota y, además de extender el daño del ataque a los enemigos de la zona, los ralentiza.",Gangplank ordena a su barco que dispare sobre un área. Los enemigos situados en ella quedan ralentizados y sufren daño.
Garen,Perseverancia,Golpe decisivo,Coraje,Juicio,Justicia demaciana,"Garen, un orgulloso y noble guerrero, lucha en las filas de la Vanguardia Impertérrita. Es querido entre sus compañeros y respetado por sus enemigos, y no solo por ser vástago de la prestigiosa familia Crownguard, responsable de la defensa de Demacia y...<!-- --> <button data-testid=""overview:seemorebutton","Si Garen no se ha visto afectado recientemente por ataques o habilidades de enemigos, regenera un porcentaje de su vida máxima cada segundo.","Garen obtiene un aumento de velocidad de movimiento y se libra de todas las ralentizaciones. Su siguiente ataque golpea una zona vital de su enemigo, lo que inflige daño adicional y lo silencia.","Garen aumenta de forma pasiva su armadura y su resistencia mágica al asesinar a enemigos. También puede activar esta habilidad para obtener un escudo y una mejora de tenacidad durante un breve periodo de tiempo, seguido de una reducción de daño menor que dura más.",Garen hace girar su espada rápidamente a su alrededor e inflige daño físico a los enemigos cercanos.,Garen invoca el poder de Demacia para intentar ejecutar a un campeón enemigo.
Gnar,Gen de furia,Bumerán / Peñascazo,Híper / Golpazo,Brinco / Sacudida,¡GNAR!,"Gnar es un yordle primitivo cuyas payasadas lúdicas pueden estallar en la ira de un niño pequeño en un instante, transformándolo en una bestia enorme empeñada en la destrucción. Congelado en Hielo Puro durante milenios, la curiosa criatura se liberó y...<!-- --> <button data-testid=""overview:seemorebutton","Gnar genera furia en combate. Al llegar a su nivel máximo, su próxima habilidad lo transforma en Mega-Gnar, una forma en la que es más resistente y tiene acceso a nuevas habilidades.","Gnar lanza un bumerán que daña y ralentiza a los enemigos que alcanza antes de volver a él. Si recoge el bumerán, el enfriamiento se reduce.

Mega-Gnar lanza un peñasco a un enemigo y daña y ralentiza a los que están a su alrededor. También en este caso se puede recoger el proyectil para reducir el enfriamiento.","Los ataques y hechizos de Gnar lo aceleran, con lo que causa daño adicional y aumenta su velocidad de movimiento.

Mega-Gnar está demasiado furioso para correr y lo que hace es levantarse y golpear con violencia la zona que tiene delante. Los enemigos situados en ella quedan aturdidos.","Gnar salta sobre una ubicación y, si aterriza sobre la cabeza de una unidad, puede seguir saltando.

Mega-Gnar es demasiado grande para rebotar, así que aterriza con fuerza devastadora y causa daño en la zona circundante.","Mega-Gnar arroja en una dirección a todos los enemigos circundantes, que resultan dañados y ralentizados. Cualquier enemigo que choque con un muro queda aturdido y recibe daño adicional."
Gragas,Hora feliz,Barril rodante,Furia ebria,Barrigazo,Tonel explosivo,"Alegre e imponente por partes iguales, Gragas es un cervecero enorme y provocador en su propia búsqueda de la pinta de cerveza perfecta. Proveniente de lugares desconocidos, ahora busca ingredientes raros entre los intactos páramos de Freljord, probando...<!-- --> <button data-testid=""overview:seemorebutton",Gragas se cura de forma periódica al usar una habilidad.,"Gragas hace rodar su tonel hacia un lugar específico. La explosión se puede activar o, de lo contrario, explotará automáticamente tras 4 s. La potencia de la explosión aumenta a lo largo del tiempo. Los enemigos a los que alcance la explosión sufrirán una reducción de velocidad de movimiento.","Gragas engulle cerveza de su tonel durante 1 s. Al terminar, su estado de embriaguez lo hace más poderoso, por lo que inflige daño mágico a los enemigos cercanos en su siguiente ataque básico y disminuye el daño recibido.","Gragas carga hacia un lugar determinado y choca contra el primer enemigo con el que se topa, lo que inflige daño a todas las unidades enemigas cercanas y las aturde.","Gragas arroja su tonel hacia un lugar, lo que causa daño y empuja hacia atrás a los enemigos a los que alcance con la explosión."
Graves,Nuevo destino,Fin de trayecto,Pantalla de humo,Disparo veloz,Daño colateral,"Malcolm Graves es un famoso mercenario, jugador y ladrón. Un hombre buscado en todas las ciudades e imperios que ha visitado. A pesar de su temperamento explosivo, posee un firme sentido del honor criminal, que a menudo ejecuta con su escopeta de doble...<!-- --> <button data-testid=""overview:seemorebutton",La escopeta de Graves tiene características únicas. Tiene que recargar cuando se queda sin munición. Los ataques lanzan 4 balas que no pueden atravesar unidades. Hacen retroceder a los objetivos que no sean campeones y hayan sido alcanzados por varias balas.,"Graves dispara un proyectil explosivo que detona tras 2 segundos, o tras 0,2 segundos si impacta en un obstáculo.",Graves dispara una bomba al área seleccionada y crea una nube de humo que reduce el alcance de visión. Los enemigos a los que alcance el primer impacto sufren daño mágico y su velocidad de movimiento se reduce brevemente.,"Graves se lanza hacia adelante, obteniendo una mejora de armadura durante varios segundos. Si se desplaza hacia un campeón enemigo, en cambio, gana dos acumulaciones de Auténtico valor. Golpear a los enemigos con ataques básicos reduce el enfriamiento de esta habilidad y renueva las mejoras defensivas.","Graves dispara un tiro explosivo que inflige mucho daño al primer campeón en el que impacte. Tras golpear a un campeón o llegar al final de su alcance, la bala explota infligiendo daño en un cono."
Gwen,Mil cortes,"¡Corta, corta!",Niebla consagrada,Salto y corte,Bordado,"Gwen, una muñeca a la que la magia confirió vida, va armada con los mismos utensilios que en su día la confeccionaron. Lleva consigo la fuerza del amor de su creadora en cada paso que da y es consciente de la maravilla de vivir. La Niebla consagrada...<!-- --> <button data-testid=""overview:seemorebutton",Los ataques de Gwen infligen daño mágico adicional según la vida de los objetivos. Se cura una parte del daño que inflige a campeones con este efecto. ,Gwen blande sus tijeras hasta 6 veces en un arco frente a ella infligiendo daño mágico. Inflige daño verdadero a las unidades en el centro y aplica su pasiva con cada ataque.,Gwen invoca una niebla que la protege de los enemigos en el exterior. Solo puede ser objetivo de los enemigos que entren en la niebla.,"Gwen se desliza una pequeña distancia y obtiene velocidad de ataque, alcance y daño mágico al golpear durante unos pocos segundos. Si golpea a un enemigo durante ese periodo de tiempo, el enfriamiento de esta habilidad se recupera parcialmente. ","Gwen lanza una aguja que ralentiza, inflige daño mágico y aplica Mil cortes a los campeones golpeados. 

Esta habilidad se puede lanzar hasta dos veces más y cada lanzamiento arroja agujas adicionales e inflige más daño. Gwen debe golpear a un enemigo entre cada lanzamiento para desbloquear el siguiente. "
Hecarim,Sendero de guerra,Alboroto,Espíritu de pavor,Carga devastadora,Envite de sombras,"Hecarim es una fusión espectral de hombre y bestia, condenado a arrollar las almas de los vivos por toda la eternidad. Cuando las Islas Bendecidas cayeron en la sombra, este orgulloso caballero fue aniquilado por las energías destructivas de la Ruina...<!-- --> <button data-testid=""overview:seemorebutton",Hecarim obtiene daño de ataque igual a un porcentaje de su velocidad de movimiento adicional.,"Hecarim hiende su arma, infligiendo daño físico a los enemigos cercanos. Si Hecarim inflige daño al menos a un enemigo, aumenta el daño y reduce el enfriamiento de los siguientes Alborotos.",Hecarim obtiene armadura y resistencia mágica. Hecarim inflige daño mágico a los enemigos cercanos y recupera una cantidad de vida equivalente a un porcentaje del daño recibido por dichos enemigos.,La velocidad de movimiento de Hecarim aumenta y puede moverse entre unidades durante un breve periodo de tiempo. Su siguiente ataque empuja al objetivo e inflige daño físico adicional en función de la distancia recorrida tras haber activado la habilidad.,"Hecarim invoca jinetes espectrales y carga, infligiendo daño mágico en línea recta. Hecarim crea una onda de choque al terminar su carga que hace que los enemigos cercanos huyan aterrorizados."
Heimerdinger,Afinidad hextech,Torreta evolucionada H-28 G,Microcohetes hextech,Granada de tormenta de electrones CH-2,¡MEJORA!,"El profesor Cecil B. Heimerdinger, un científico yordle excéntrico pero brillante, es considerado una de las mentes más innovadoras y uno de los inventores más admirados de la historia de Piltover. Tiene una dedicación incesante en su trabajo hasta el...<!-- --> <button data-testid=""overview:seemorebutton",Obtén velocidad de movimiento al estar cerca de torres aliadas y de torretas desplegadas por Heimerdinger.,Heimerdinger despliega una torreta de fuego rápido equipada con un segundo cañón de ataque (las torretas infligen la mitad de daño a las torres).,Heimerdinger dispara proyectiles de largo alcance que convergen en su cursor.,"Heimerdinger lanza una granada que causa daño, aturde a las unidades que reciben el impacto de forma directa y ralentiza a las unidades cercanas.",Heimerdinger inventa una mejora con la que aumenta los efectos de su próxima habilidad. 
Illaoi,Profeta de un dios antiguo,Aplastamiento con tentáculo,Dura lección,Prueba de espíritu,Salto de fe,"El poderoso físico de Illaoi solo se ve empequeñecido por su indómita fe. Como profeta del Gran Kraken, hace uso de un gran ídolo de oro para arrancar el espíritu del cuerpo de sus enemigos y fracturar su percepción de la realidad. Todo el que desafía a...<!-- --> <button data-testid=""overview:seemorebutton","Illaoi y los recipientes que crea generan tentáculos en el terreno circundante. Los tentáculos atacan a espíritus, recipientes y víctimas de Dura lección de Illaoi. Los tentáculos infligen daño físico a los enemigos alcanzados y curan a Illaoi si dañan a un campeón.","Aumenta el daño que infligen los tentáculos. Al activarla, Illaoi golpea con un tentáculo que inflige daño físico.","Illaoi salta hacia su objetivo, le inflige daño físico y hace que los tentáculos cercanos lo ataquen también.","Illaoi arranca el espíritu del cuerpo de un enemigo y lo obliga a mostrarse ante ella. Los espíritus transmiten al objetivo original un porcentaje del daño sufrido. Si muere o si el objetivo se aleja demasiado del espíritu, el objetivo se convertirá en un recipiente y hará aparecer tentáculos.",Illaoi golpea su ídolo contra el suelo e inflige daño físico a los enemigos cercanos. Aparecerá un tentáculo por cada campeón impactado.
Irelia,Fervor jonio,Embate de espada,Danza desafiante,Dúo impecable,Filo de la vanguardia,"La ocupación noxiana de Jonia produjo mucho héroes, pero ninguno más improbable que la joven Irelia de Navori. Se entrenó en las antiguas danzas de su gente y adaptó su arte para la guerra, usando los movimientos elegantes y diligentemente practicados...<!-- --> <button data-testid=""overview:seemorebutton","Cuando las habilidades de Irelia golpean a enemigos, obtiene una mejora acumulable de velocidad de ataque. Con el máximo de acumulaciones, sus ataques básicos también infligen daño adicional.","Irelia se desliza hacia delante, golpea a su objetivo y se cura. Si el objetivo queda marcado o muere con Embate de espada, se reinicia el enfriamiento.",Irelia carga un golpe que inflige más daño cuanto más lo cargue. Recibe menos daño físico mientras carga.,"Irelia envía dos cuchillas que convergen entre sí. Los enemigos atrapados en medio de las cuchillas reciben daño, quedan aturdidos y son marcados.","Irelia libera una gran cantidad de cuchillas que explotan hacia fuera al alcanzar a un campeón enemigo. Los enemigos alcanzados por las cuchillas reciben daño y quedan marcados. Después, las cuchillas forman un muro que inflige daño y ralentiza a los enemigos que pasen por él."
Ivern,Amigo del Bosque,Lanzarraíces,Creamaleza,Semilla de relojería,¡Margarita!,"Ivern Bósquez, conocido por muchos como el Padre Arborescente, es un ser peculiar, mitad humano y mitad árbol, que deambula por los bosques de Runaterra y cultiva la vida allá donde va. Conoce los secretos del mundo natural y es buen amigo de todo lo...<!-- --> <button data-testid=""overview:seemorebutton","Ivern no puede atacar ni ser atacado por monstruos no épicos. Ivern puede crear arboledas mágicas que crecen con el tiempo en los campamentos de la jungla. Cuando la arboleda ha crecido por completo, Ivern puede liberar a los monstruos para recibir oro y experiencia.",Ivern conjura raíces que infligen daño e inmovilizan a los objetivos enemigos. Los aliados de Ivern pueden deslizarse hacia el objetivo inmovilizado.,"Cuando está en la maleza, los ataques de Ivern y de sus aliados cercanos infligen daño mágico adicional. Puede activar esta habilidad para crear una zona de maleza.","Ivern le concede un escudo a un aliado. Tras un breve lapso de tiempo, el escudo estalla, de forma que ralentiza e inflige daño a los enemigos. El escudo se regenera si no golpea a ningún enemigo.","Ivern invoca a su amiga centinela, Margarita, para que luche con él. Vuelve a lanzar la habilidad para que Margarita se mueva o ataque."
Janna,Empuje,Temporal,Céfiro,Ojo de la tormenta,Monzón,"Janna, armada con el poder de los vendavales de Runaterra, es un misterioso espíritu elemental que aprovecha el viento para proteger a los más desfavorecidos de Zaun. Hay quien cree que surgió de los ruegos de los marineros de Runaterra, que rezaban por...<!-- --> <button data-testid=""overview:seemorebutton","Janna obtiene velocidad de movimiento adicional cuando se mueve hacia campeones aliados, y los campeones aliados cercanos obtienen esta bonificación al moverse hacia ella.","Cambiando puntualmente la presión y la temperatura, Janna logra crear una pequeña tormenta que aumenta de tamaño con el tiempo. Se puede activar de nuevo el hechizo para lanzar la tormenta. Al lanzarla, esta tormenta se desplaza hacia la dirección en que fue arrojada, lo que inflige daño y lanza por los aires a los enemigos que se encuentren en su camino.",Janna invoca un elemental de aire que aumenta de forma pasiva su velocidad de movimiento y le permite atravesar unidades. También puede activar esta habilidad para infligir daño y reducir la velocidad de movimiento de un enemigo. La pasiva se pierde cuando esta habilidad está en enfriamiento.,Janna conjura un vendaval defensivo que protege a una torreta o un campeón aliado del daño y aumenta su daño de ataque.,"Janna se envuelve con una tormenta mágica que repele a sus enemigos. Una vez pasada la tormenta, unos vientos reparadores curan a los aliados cercanos mientras la habilidad se encuentra activa."
